               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.045956,            0.028373,           0.0064633,             0.87584,             0.69155,             0.84485,             0.39261,            0.043854,             0.01789,           0.0065985,            0.002855,            0.002855,            0.002855
                  37,              0.0448,            0.026436,           0.0069779,             0.74684,             0.72582,             0.79106,             0.34429,            0.044117,            0.017844,           0.0060955,           0.0026316,           0.0026316,           0.0026316
                  38,            0.044663,            0.026354,           0.0071493,             0.75782,             0.85709,              0.8537,             0.40879,            0.043304,            0.017908,            0.008097,           0.0024195,           0.0024195,           0.0024195
                  39,            0.043312,            0.026437,           0.0065422,             0.74433,             0.64444,             0.75286,             0.35154,             0.04533,            0.017437,            0.010514,           0.0022196,           0.0022196,           0.0022196
                  40,            0.042156,            0.026251,           0.0066721,             0.79946,             0.79458,             0.85321,             0.39562,            0.040723,            0.016762,           0.0071026,           0.0020327,           0.0020327,           0.0020327
                  41,            0.042257,             0.02676,           0.0064054,             0.88084,              0.6819,             0.79836,             0.37725,            0.043057,            0.017042,           0.0054453,           0.0018594,           0.0018594,           0.0018594
                  42,            0.040082,            0.023548,           0.0057905,             0.94231,              0.7516,             0.88777,              0.4347,            0.039145,            0.016277,           0.0046958,           0.0017005,           0.0017005,           0.0017005
                  43,            0.040637,            0.026291,           0.0054648,             0.92511,             0.75645,             0.87969,             0.42097,            0.040291,            0.016802,           0.0055488,           0.0015566,           0.0015566,           0.0015566
                  44,            0.039489,             0.02595,           0.0052407,              0.7009,             0.83822,             0.80828,             0.41216,            0.040195,            0.016772,           0.0061741,           0.0014283,           0.0014283,           0.0014283
                  45,            0.038774,            0.024151,           0.0048493,                 0.9,             0.69206,             0.85773,             0.45245,            0.040094,            0.016611,           0.0047403,            0.001316,            0.001316,            0.001316
                  46,            0.038709,            0.024354,           0.0048002,             0.92559,             0.75367,             0.87426,             0.45464,            0.038967,            0.017052,           0.0043216,           0.0012202,           0.0012202,           0.0012202
                  47,            0.037051,            0.024417,           0.0046549,             0.89844,             0.83027,             0.91411,             0.47942,            0.038673,            0.016637,            0.002961,           0.0011414,           0.0011414,           0.0011414
                  48,            0.036779,            0.023072,           0.0045558,             0.96047,              0.8376,             0.92586,             0.47513,            0.039188,             0.01632,           0.0035455,           0.0010797,           0.0010797,           0.0010797
                  49,            0.036754,             0.02288,           0.0040783,             0.97343,             0.85445,             0.92789,             0.50263,            0.038387,             0.01619,           0.0036355,           0.0010355,           0.0010355,           0.0010355
